entries,sites,replications,growing_periods,time_points,biomass
entry_1,site_1,replication_1,growing_period_1,0.0,0.0
entry_1,site_1,replication_1,growing_period_1,1.0,0.4943915845592648
entry_1,site_1,replication_1,growing_period_1,2.0,1.3466922912789925
entry_1,site_1,replication_1,growing_period_1,3.0,1.8404346750025324
entry_1,site_1,replication_1,growing_period_1,4.0,1.8281243632068165
entry_1,site_1,replication_1,growing_period_1,5.0,3.3057168630968525
entry_1,site_1,replication_1,growing_period_1,6.0,2.0558875374080876
entry_1,site_1,replication_1,growing_period_1,7.0,3.6110998584465137
entry_1,site_1,replication_1,growing_period_1,8.0,2.181259566354351
entry_1,site_1,replication_1,growing_period_1,9.0,3.8123213082533898
entry_1,site_1,replication_1,growing_period_2,0.0,0.0
entry_1,site_1,replication_1,growing_period_2,1.0,0.36061510087041243
entry_1,site_1,replication_1,growing_period_2,2.0,0.7954133977359659
entry_1,site_1,replication_1,growing_period_2,3.0,2.2119668936294685
entry_1,site_1,replication_1,growing_period_2,4.0,1.2785267148509667
entry_1,site_1,replication_1,growing_period_2,5.0,1.6095509614637553
entry_1,site_1,replication_1,growing_period_2,6.0,4.331896410244106
entry_1,site_1,replication_1,growing_period_2,7.0,0.2112988502744566
entry_1,site_1,replication_1,growing_period_2,8.0,5.310063964303895
entry_1,site_1,replication_1,growing_period_2,9.0,6.419036768655926
entry_1,site_1,replication_1,growing_period_3,0.0,0.0
entry_1,site_1,replication_1,growing_period_3,1.0,0.8539009571180256
entry_1,site_1,replication_1,growing_period_3,2.0,1.9987406396054728
entry_1,site_1,replication_1,growing_period_3,3.0,1.6051777266261285
entry_1,site_1,replication_1,growing_period_3,4.0,3.029249933725326
entry_1,site_1,replication_1,growing_period_3,5.0,1.3977098504786882
entry_1,site_1,replication_1,growing_period_3,6.0,3.2904015254442553
entry_1,site_1,replication_1,growing_period_3,7.0,2.4133427986435527
entry_1,site_1,replication_1,growing_period_3,8.0,5.577808980118093
entry_1,site_1,replication_1,growing_period_3,9.0,8.593913275788209
entry_1,site_1,replication_1,growing_period_4,0.0,0.0
entry_1,site_1,replication_1,growing_period_4,1.0,0.7182134174576618
entry_1,site_1,replication_1,growing_period_4,2.0,1.3723924873212885
entry_1,site_1,replication_1,growing_period_4,3.0,1.0601900214510822
entry_1,site_1,replication_1,growing_period_4,4.0,3.7157214523209636
entry_1,site_1,replication_1,growing_period_4,5.0,3.036438973475672
entry_1,site_1,replication_1,growing_period_4,6.0,4.2676351614945265
entry_1,site_1,replication_1,growing_period_4,7.0,3.3893685905919835
entry_1,site_1,replication_1,growing_period_4,8.0,3.1094661984839087
entry_1,site_1,replication_1,growing_period_4,9.0,8.537492949610119
entry_1,site_1,replication_2,growing_period_1,0.0,0.0
entry_1,site_1,replication_2,growing_period_1,1.0,0.7394273208151249
entry_1,site_1,replication_2,growing_period_1,2.0,1.5424346912794993
entry_1,site_1,replication_2,growing_period_1,3.0,1.0548798700295792
entry_1,site_1,replication_2,growing_period_1,4.0,2.8093421568956924
entry_1,site_1,replication_2,growing_period_1,5.0,1.4967928255491747
entry_1,site_1,replication_2,growing_period_1,6.0,5.013403539508012
entry_1,site_1,replication_2,growing_period_1,7.0,1.4049787558885505
entry_1,site_1,replication_2,growing_period_1,8.0,5.035270010921806
entry_1,site_1,replication_2,growing_period_1,9.0,8.54537601534135
entry_1,site_1,replication_2,growing_period_2,0.0,0.0
entry_1,site_1,replication_2,growing_period_2,1.0,0.390150437743342
entry_1,site_1,replication_2,growing_period_2,2.0,1.2849988961107233
entry_1,site_1,replication_2,growing_period_2,3.0,1.915172145290079
entry_1,site_1,replication_2,growing_period_2,4.0,0.9784873920099066
entry_1,site_1,replication_2,growing_period_2,5.0,3.562710054508438
entry_1,site_1,replication_2,growing_period_2,6.0,5.375476301718866
entry_1,site_1,replication_2,growing_period_2,7.0,4.713527672637413
entry_1,site_1,replication_2,growing_period_2,8.0,7.07476969419082
entry_1,site_1,replication_2,growing_period_2,9.0,2.591034073071732
entry_1,site_1,replication_2,growing_period_3,0.0,0.0
entry_1,site_1,replication_2,growing_period_3,1.0,0.2603292338269856
entry_1,site_1,replication_2,growing_period_3,2.0,0.7188621512775417
entry_1,site_1,replication_2,growing_period_3,3.0,2.5137239530198445
entry_1,site_1,replication_2,growing_period_3,4.0,1.8448058793631708
entry_1,site_1,replication_2,growing_period_3,5.0,4.447056388021264
